feature,importance
wave_severity,0.5189078
swelldir,0.12194444
marine_risk_index,0.05826829
low_tide_count,0.045792807
wave_energy,0.02348531
daily_temp_range,0.020573955
wave_wind_interaction,0.019113244
precipitation,0.018728778
swellheight,0.018604329
wave_steepness,0.01680187
temperature_vs_daily_min,0.015584234
pressure,0.0147127975
precipitation_log,0.01133807
swell_ratio,0.009469442
wind_vector_x,0.006364497
wind_intensity,0.005698484
lunar_energy_proxy,0.0051745893
hour_sin,0.0050847875
windgust,0.005080967
cloud_humidity_interaction,0.004975062
hour_cos,0.0049548023
period,0.0047602677
gust_factor,0.0046529765
tide_height_normalized,0.0041156746
wind_vector_y,0.0040008654
swell_energy,0.002984974
dewpoint,0.0026033467
directional_misalignment,0.002575087
gust_delta,0.0025534309
sigheight,0.0025084857
temperature_vs_daily_max,0.002411046
humidity,0.002334884
wave_power_index,0.0021220578
swell_vector_x,0.0019965689
cloudcover,0.0019287097
windspeed,0.0018197687
winddirdegree,0.0016787901
swell_vector_y,0.0012265177
pressure_anomaly,0.0010742833
dewpoint_depression,0.0009491083
maxtemp,0.0005519882
tide_height_mean,0.00027819903
watertemp,0.000118839525
tide_height_range,6.451285e-05
daylight_flag,3.1102973e-05
moon_phase_Waxing Crescent,0.0
moon_phase_Waxing Gibbous,0.0
moon_phase___unknown__,0.0
moon_phase_Waning Gibbous,0.0
moon_phase_First Quarter,0.0
idbeach_371,0.0
idbeach_373,0.0
idbeach_372,0.0
idbeach___unknown__,0.0
idbeach_374,0.0
high_tide_count,0.0
idbeach_370,0.0
idbeach_368,0.0
idbeach_369,0.0
moon_phase_Waning Crescent,0.0
moon_phase_Full Moon,0.0
moon_phase_Last Quarter,0.0
moon_phase_New Moon,0.0
moon_illumination,0.0
mintemp,0.0
tide_events,0.0
pressure_drop_flag,0.0
tide_height_max,0.0
tide_extreme_imbalance,0.0
tide_height_min,0.0
wind_alignment,0.0
